Open Date,Open Time,Close Time,Duration,Net P&L,Side,Entry Price,Symbol,Executions,Exit Price,Quantity,Valid Reason,Setup Valid,Invalid Reason,setup_valid_normalized,quality_bucket,valid_reason_tags,invalid_reason_tags,primary_valid_reason,primary_invalid_reason
2025-01-06,09:32:30 EST,09:54:00 EST,1290.0,1281.0,long,21760.25,MNQ,2,21824.5,10.0,,,,yes,valid,,,,
2025-01-07,09:57:00 EST,10:21:30 EST,1470.0,2811.0,short,21735.25,MNQ,2,21594.5,10.0,,,,yes,valid,,,,
2025-01-08,09:52:00 EST,09:53:00 EST,60.0,-1129.0,long,21377.5,MNQ,2,21321.25,10.0,,,,yes,valid,,,,
2025-01-08,10:02:27 EST,10:09:00 EST,393.0,-704.0,long,21386.75,MNQ,2,21351.75,10.0,,,,yes,valid,,,,
2025-01-10,09:37:00 EST,10:18:30 EST,2490.0,3856.0,short,21133.25,MNQ,2,20940.25,10.0,,,,yes,valid,,,,
2025-01-13,09:35:30 EST,09:44:00 EST,510.0,-479.0,short,20749.75,MNQ,2,20773.5,10.0,,,,yes,valid,,,,
2025-01-13,09:53:30 EST,10:08:30 EST,900.0,816.0,long,20784.25,MNQ,2,20825.25,10.0,,,,yes,valid,,,,
2025-01-14,09:40:00 EST,09:47:00 EST,420.0,-639.0,long,21112.25,MNQ,2,21080.5,10.0,,,,yes,valid,,,,
2025-01-14,10:16:00 EST,10:23:00 EST,420.0,-1109.0,long,21091.25,MNQ,2,21036.0,10.0,,,,yes,valid,,,,
2025-01-15,09:33:30 EST,09:36:00 EST,150.0,-479.0,long,21268.5,MNQ,2,21244.75,10.0,,no,,no,avoid,,,,
2025-01-16,09:42:00 EST,09:56:00 EST,840.0,866.0,short,21446.0,MNQ,2,21402.5,10.0,,,,yes,valid,,,,
2025-01-17,09:32:30 EST,10:00:30 EST,1680.0,921.0,short,21577.5,MNQ,2,21531.25,10.0,,,,yes,valid,,,,
2025-01-20,09:35:30 EST,09:48:00 EST,750.0,531.0,long,21738.75,MNQ,2,21765.5,10.0,,,,yes,valid,,,,
2025-01-20,10:00:00 EST,10:01:00 EST,60.0,-299.0,long,21742.25,MNQ,2,21727.5,10.0,,no,,no,avoid,,,,
2025-01-20,10:20:30 EST,10:47:00 EST,1590.0,671.0,short,21695.0,MNQ,2,21661.25,10.0,,,,yes,valid,,,,
2025-01-21,09:35:00 EST,09:46:00 EST,660.0,1161.0,short,21690.25,MNQ,2,21632.0,10.0,,,,yes,valid,,,,
