example_id,open_date,open_time,close_time,side,entry_price,exit_price,net_pnl,setup_valid_normalized,quality_bucket,primary_valid_reason,primary_invalid_reason,entry_timestamp_raw,entry_anchor_timestamp,exit_anchor_timestamp,matched_to_bar_data,bars_in_window
trade-example-0001,2025-01-06,09:32:30 EST,09:54:00 EST,long,21760.25,21824.5,1281.0,yes,valid,,,2025-01-06T09:32:30-05:00,2025-01-06T09:32:30-05:00,2025-01-06T09:54:00-05:00,True,30
trade-example-0002,2025-01-07,09:57:00 EST,10:21:30 EST,short,21735.25,21594.5,2811.0,yes,valid,,,2025-01-07T09:57:00-05:00,2025-01-07T09:57:00-05:00,2025-01-07T10:21:30-05:00,True,37
trade-example-0003,2025-01-08,09:52:00 EST,09:53:00 EST,long,21377.5,21321.25,-1129.0,yes,valid,,,2025-01-08T09:52:00-05:00,2025-01-08T09:52:00-05:00,2025-01-08T09:53:00-05:00,True,37
trade-example-0004,2025-01-08,10:02:27 EST,10:09:00 EST,long,21386.75,21351.75,-704.0,yes,valid,,,2025-01-08T10:02:27-05:00,2025-01-08T10:02:00-05:00,2025-01-08T10:09:00-05:00,True,37
trade-example-0005,2025-01-10,09:37:00 EST,10:18:30 EST,short,21133.25,20940.25,3856.0,yes,valid,,,2025-01-10T09:37:00-05:00,2025-01-10T09:37:00-05:00,2025-01-10T10:18:30-05:00,True,37
trade-example-0006,2025-01-13,09:35:30 EST,09:44:00 EST,short,20749.75,20773.5,-479.0,yes,valid,,,2025-01-13T09:35:30-05:00,2025-01-13T09:35:30-05:00,2025-01-13T09:44:00-05:00,True,36
trade-example-0007,2025-01-13,09:53:30 EST,10:08:30 EST,long,20784.25,20825.25,816.0,yes,valid,,,2025-01-13T09:53:30-05:00,2025-01-13T09:53:30-05:00,2025-01-13T10:08:30-05:00,True,37
trade-example-0008,2025-01-14,09:40:00 EST,09:47:00 EST,long,21112.25,21080.5,-639.0,yes,valid,,,2025-01-14T09:40:00-05:00,2025-01-14T09:40:00-05:00,2025-01-14T09:47:00-05:00,True,37
trade-example-0009,2025-01-14,10:16:00 EST,10:23:00 EST,long,21091.25,21036.0,-1109.0,yes,valid,,,2025-01-14T10:16:00-05:00,2025-01-14T10:16:00-05:00,2025-01-14T10:23:00-05:00,True,37
trade-example-0010,2025-01-15,09:33:30 EST,09:36:00 EST,long,21268.5,21244.75,-479.0,no,avoid,,,2025-01-15T09:33:30-05:00,2025-01-15T09:33:30-05:00,2025-01-15T09:36:00-05:00,True,32
trade-example-0011,2025-01-16,09:42:00 EST,09:56:00 EST,short,21446.0,21402.5,866.0,yes,valid,,,2025-01-16T09:42:00-05:00,2025-01-16T09:42:00-05:00,2025-01-16T09:56:00-05:00,True,37
trade-example-0012,2025-01-17,09:32:30 EST,10:00:30 EST,short,21577.5,21531.25,921.0,yes,valid,,,2025-01-17T09:32:30-05:00,2025-01-17T09:32:30-05:00,2025-01-17T10:00:30-05:00,True,30
trade-example-0013,2025-01-20,09:35:30 EST,09:48:00 EST,long,21738.75,21765.5,531.0,yes,valid,,,2025-01-20T09:35:30-05:00,2025-01-20T09:35:30-05:00,2025-01-20T09:48:00-05:00,True,36
trade-example-0014,2025-01-20,10:00:00 EST,10:01:00 EST,long,21742.25,21727.5,-299.0,no,avoid,,,2025-01-20T10:00:00-05:00,2025-01-20T10:00:00-05:00,2025-01-20T10:01:00-05:00,True,37
trade-example-0015,2025-01-20,10:20:30 EST,10:47:00 EST,short,21695.0,21661.25,671.0,yes,valid,,,2025-01-20T10:20:30-05:00,2025-01-20T10:20:30-05:00,2025-01-20T10:47:00-05:00,True,37
trade-example-0016,2025-01-21,09:35:00 EST,09:46:00 EST,short,21690.25,21632.0,1161.0,yes,valid,,,2025-01-21T09:35:00-05:00,2025-01-21T09:35:00-05:00,2025-01-21T09:46:00-05:00,True,35
trade-example-0017,2025-01-23,09:35:00 EST,09:50:00 EST,long,21897.25,21912.75,306.0,yes,valid,,,2025-01-23T09:35:00-05:00,2025-01-23T09:35:00-05:00,2025-01-23T09:50:00-05:00,True,35
trade-example-0018,2025-01-23,10:12:30 EST,10:19:00 EST,long,21900.0,21888.75,-229.0,no,avoid,,,2025-01-23T10:12:30-05:00,2025-01-23T10:12:30-05:00,2025-01-23T10:19:00-05:00,True,37
trade-example-0019,2025-01-24,09:44:00 EST,09:45:30 EST,short,22019.25,22054.0,-699.0,no,avoid,,,2025-01-24T09:44:00-05:00,2025-01-24T09:44:00-05:00,2025-01-24T09:45:30-05:00,True,37
trade-example-0020,2025-01-24,09:52:00 EST,10:03:00 EST,long,22058.25,22037.75,-414.0,yes,valid,,,2025-01-24T09:52:00-05:00,2025-01-24T09:52:00-05:00,2025-01-24T10:03:00-05:00,True,37
trade-example-0021,2025-01-28,10:12:30 EST,11:03:30 EST,long,21347.25,21429.75,1646.0,yes,valid,,,2025-01-28T10:12:30-05:00,2025-01-28T10:12:30-05:00,2025-01-28T11:03:30-05:00,True,37
trade-example-0022,2025-01-30,10:00:00 EST,10:01:00 EST,long,21673.5,21645.75,-559.0,no,avoid,,,2025-01-30T10:00:00-05:00,2025-01-30T10:00:00-05:00,2025-01-30T10:01:00-05:00,True,37
